word,normalized
tapi,tetapi
tetapi,tetapi
ga,tidak
tdk,tidak
nggak,tidak
no,tidak
tidak,tidak
gak,tidak
gk,tidak
gaada,tidak ada
gadaa,tidak ada
tinggal,tinggal
meninggalkan,tinggal
tingkat,tingkat
tingkatkan,tingkatkan
tolong,tolong
topik,topik
topic,topik
total,total
tugas,tugas
tugasnya,tugas
menumbuhkan,tumbuh
berkembang,tumbuh
ditunggu,tunggu
nunggu,tunggu
menunggu,tunggu
close,tutup
umum,umum
undang,undang
ngundang,undang
datangkan,undang
untuk,untuk
utk,untuk
menguntungkan,untung
ceremony,upacara
upn,upn
upnvjatim,upnvjt
urutan,urutan
runtutan,urutan
diusahakan,usaha
usahakan,usaha
utamakan,utama
bervariatif,variasi
variatif,variatif
vbg,vbg
videonya,video
video,video
muka,wajah
wajah,wajah
waktu,waktu
waktunya,waktu
time,waktu
walaupun,walaupun
insightfull,wawasan
berwawasan,wawasan
insight,wawasan
insightful,wawasan
wawasan,wawasan
webinar,webinar
webinarnya,webinar
webinarwebinar,webinar
wabinar,webinar
wow,wow
ya,ya
yaitu,yaitu
yg,yang
yang,yang
yt,youtube
youtube,youtube
z,z
jaman,zaman
zaman,zaman
zoom,zoom
zoomnya,zoom
jd,jadi
yahud,bagus
